Rank,Country,ISO3,Region,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Combat Tanks,Armored Fighting Vehicles,Total Naval Assets,Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
20,Thailand,THA,South-eastern Asia,68200824,627425,335425,292000,555,294,737,2614,81,38450000,363,5,180053,4071,5390,137100,181400,1161000,513120,3219,5673,4000
21,Iran,IRN,Western Asia,82801633,934000,534000,400000,477,126,1616,1315,398,29750000,76,3,172927,8442,6300,7116,135500,1459000,1648195,2440,5894,850
22,Australia,AUS,Oceania,22992654,81000,60000,21000,465,210,59,2040,47,12630000,41,20,818356,38445,24100,1692000,54300,1189000,7741220,25760,0,2000
23,North Korea,NKO,Eastern Asia,25115311,6445000,945000,5500000,944,202,5025,4100,967,14000000,158,8,25554,5242,7500,5000,6000,40000,120538,2495,1607,2250
24,Saudi Arabia,SAR,Western Asia,28160273,256000,231000,25000,790,227,1142,5472,55,12020000,72,4,221372,1378,56725,200900,553700,1731000,2149690,2640,4272,0
25,Algeria,ALG,Northern Africa,40263711,792350,520000,272350,502,257,2405,6754,85,11780000,38,9,111261,3973,10570,5934,115000,609400,2381741,998,6734,0
26,Canada,CAN,Northern America,35362905,111250,79000,32250,414,168,80,3004,63,19420000,181,12,1042300,46552,15500,1608000,82500,1674000,9984670,202080,8893,636
27,Spain,SPA,Southern Europe,48563476,174700,124100,50600,533,173,327,2493,46,22890000,132,9,681298,15293,11600,2094000,53970,1690000,505370,4964,1953,1000
28,Greece,GRE,Southern Europe,10773253,413750,161500,252250,600,223,1345,4209,115,4761000,860,5,116711,2548,6540,506600,6026,290500,131957,13676,1110,6
29,Sweden,SWE,Northern Europe,9880604,43875,21875,22000,198,49,120,2470,63,5277000,135,9,572900,11633,6215,939900,58110,498100,450295,3218,2211,2052
30,Ukraine,UKR,Eastern Europe,44209733,1182000,182000,1000000,238,87,2449,8217,25,18040000,134,6,169495,21658,4880,127700,16010,349800,603550,2782,5618,2150
31,Myanmar,MYA,South-eastern Asia,56890418,516000,406000,110000,249,86,592,1358,155,37150000,29,3,34377,5031,2400,9041,8913,311100,676578,1930,6522,12800
32,Czech Republic,CZR,Central Europe,10644842,29050,22000,7050,109,56,123,518,0,5494000,1,3,130671,9469,2220,128900,78620,350900,78867,0,2046,664
33,Malaysia,MLY,South-eastern Asia,30949962,420000,110000,310000,232,88,74,1318,61,14770000,315,5,98721,1849,4700,187500,97380,863800,329847,4675,2742,7200
